time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2021/2/3 9:21,1.36616,1.36633,1.36615,1.36631,1.36626,1.36643,1.36625,1.36641
2021/2/3 9:22,1.36631,1.36631,1.36612,1.36613,1.36641,1.36641,1.36622,1.36623
2021/2/3 9:23,1.36613,1.36618,1.36612,1.36618,1.36623,1.36628,1.36622,1.36628
2021/2/3 9:24,1.36618,1.36624,1.36612,1.36612,1.36628,1.36634,1.36622,1.36622
2021/2/3 9:25,1.36612,1.36614,1.3661,1.3661,1.36622,1.36624,1.3662,1.3662
2021/2/3 9:26,1.3661,1.36622,1.36607,1.36617,1.3662,1.36632,1.36617,1.36627
2021/2/3 9:27,1.36617,1.36624,1.36616,1.36623,1.36627,1.36634,1.36626,1.36633
2021/2/3 9:28,1.36623,1.36636,1.36623,1.36636,1.36633,1.36646,1.36633,1.36646
2021/2/3 9:29,1.36636,1.36645,1.36634,1.36645,1.36646,1.36655,1.36644,1.36655
2021/2/3 9:30,1.36645,1.36652,1.36645,1.36651,1.36655,1.36662,1.36655,1.36661
2021/2/3 9:31,1.36651,1.36657,1.36641,1.36643,1.36661,1.36667,1.36651,1.36653
2021/2/3 9:32,1.36643,1.36646,1.36635,1.36643,1.36653,1.36656,1.36645,1.36653
2021/2/3 9:33,1.36643,1.36645,1.36638,1.36642,1.36653,1.36655,1.36648,1.36652
2021/2/3 9:34,1.36642,1.36657,1.36641,1.36657,1.36652,1.36667,1.36651,1.36667
2021/2/3 9:35,1.36657,1.36663,1.36651,1.36657,1.36667,1.36673,1.36661,1.36667
2021/2/3 9:36,1.36657,1.3666,1.36657,1.3666,1.36667,1.3667,1.36667,1.3667
2021/2/3 9:37,1.3666,1.36661,1.36653,1.36657,1.3667,1.36671,1.36663,1.36667
2021/2/3 9:38,1.36657,1.36691,1.36656,1.3669,1.36667,1.36701,1.36666,1.367
2021/2/3 9:39,1.3669,1.36699,1.36687,1.36692,1.367,1.36709,1.36697,1.36702
2021/2/3 9:40,1.36692,1.36699,1.3669,1.36699,1.36702,1.36709,1.367,1.36709
2021/2/3 9:41,1.36699,1.36704,1.36694,1.36695,1.36709,1.36714,1.36704,1.36705
2021/2/3 9:42,1.36695,1.36697,1.36691,1.36694,1.36705,1.36707,1.36701,1.36704
2021/2/3 9:43,1.36694,1.36696,1.36692,1.36695,1.36704,1.36706,1.36702,1.36705
2021/2/3 9:44,1.36695,1.36703,1.36693,1.36694,1.36705,1.36713,1.36703,1.36704
2021/2/3 9:45,1.36694,1.36694,1.36693,1.36694,1.36704,1.36704,1.36703,1.36704
2021/2/3 9:46,1.36694,1.36694,1.36656,1.36658,1.36704,1.36704,1.36666,1.36668
2021/2/3 9:47,1.36658,1.36676,1.36658,1.36674,1.36668,1.36686,1.36668,1.36684
2021/2/3 9:48,1.36674,1.36686,1.36669,1.36686,1.36684,1.36696,1.36679,1.36696
2021/2/3 9:49,1.36686,1.36686,1.36667,1.36684,1.36696,1.36696,1.36677,1.36694
2021/2/3 9:50,1.36684,1.36694,1.36684,1.36687,1.36694,1.36704,1.36694,1.36697
2021/2/3 9:51,1.36687,1.36701,1.36686,1.36696,1.36697,1.36711,1.36696,1.36706
